ID,SMILES
Z1A,c1ccccc1Cn1c2CCCCc2c2ccccc12
Z1B,Cc1ccc(Cn2c3CCCCc3c3ccccc23)cc1
Z1C,Clc1ccc(cc1)Cn1c2CCCCc2c2ccccc12
Z1D,Fc1ccc(cc1)Cn1c2CCCCc2c2ccccc12
Z1E,O=N(=O)c1ccc(cc1)Cn1c2CCCCc2c2ccccc12
Z2A,CC1Cc2c(CC1)n(Cc1ccccc1)c1ccccc12
Z2B,CC1CCc2n(Cc3ccc(C)cc3)c3ccccc3c2C1
Z2C,CC1CCc2n(Cc3ccc(C)cc3)c3ccccc3c2C1
Z2D,Fc1ccc(cc1)Cn1c2CCC(C)Cc2c2ccccc12
Z2E,O=N(=O)c1ccc(cc1)Cn1c2CCC(C)Cc2c2ccccc12
Z3A,CC(C)(C)C1Cc2c(CC1)n(Cc1ccccc1)c1ccccc12
Z3B,CC(C)(C)C1Cc2c(CC1)n(Cc1ccc(C)cc1)c1ccccc12
Z3C,CC(C)(C)C1Cc2c(CC1)n(Cc1ccc(Cl)cc1)c1ccccc12
Z3D,CC(C)(C)C1Cc2c(CC1)n(Cc1ccc(F)cc1)c1ccccc12
Z3E,CC(C)(C)C1Cc2c(CC1)n(Cc1ccc(cc1)N(=O)=O)c1ccccc12
Y1A,Cc1cc2c(cc1)n(Cc1ccccc1)c1CCCCc12
Y1B, Cc1ccc2n(Cc3ccc(C)cc3)c3CCCCc3c2c1
Y1C,Clc1ccc(cc1)Cn1c2ccc(C)cc2c2CCCCc12
Y1D,Fc1ccc(cc1)Cn1c2ccc(C)cc2c2CCCCc12
Y1E,O=N(=O)c1ccc(cc1)Cn1c2ccc(C)cc2c2CCCCc12
Y2A,CC1CCc2n(Cc3ccccc3)c3ccc(C)cc3c2C1
Y2B,CC1CCc2n(Cc3ccc(C)cc3)c3ccc(C)cc3c2C1
Y2C,Clc1ccc(cc1)Cn1c2CCC(C)Cc2c2cc(C)ccc12
Y2D,Fc1ccc(cc1)Cn1c2CCC(C)Cc2c2cc(C)ccc12
Y2E,O=N(=O)c1ccc(cc1)Cn1c2CCC(C)Cc2c2cc(C)ccc12
Y3A,CC(C)(C)C1Cc2c(CC1)n(Cc1ccccc1)c1ccc(C)cc12
Y3B,CC(C)(C)C1Cc2c(CC1)n(Cc1ccc(C)cc1)c1ccc(C)cc12
Y3C,CC(C)(C)C1CCc2n(Cc3ccc(Cl)cc3)c3ccc(C)cc3c2C1
Y3D,CC(C)(C)C1CCc2n(Cc3ccc(F)cc3)c3ccc(C)cc3c2C1
Y3E,CC(C)(C)C1CCc2n(Cc3ccc(cc3)N(=O)=O)c3ccc(C)cc3c2C1
X1A,COc1cc2c(cc1)n(Cc1ccccc1)c1CCCCc12
X1B,COc1cc2c(cc1)n(Cc1ccc(C)cc1)c1CCCCc12
X1C,Clc1ccc(cc1)Cn1c2ccc(OC)cc2c2CCCCc12
X1D,Fc1ccc(cc1)Cn1c2ccc(OC)cc2c2CCCCc12
X1E,O=N(=O)c1ccc(cc1)Cn1c2ccc(OC)cc2c2CCCCc12
X2A,COc1ccc2n(Cc3ccccc3)c3CCC(C)Cc3c2c1
X2B,COc1ccc2n(Cc3ccc(C)cc3)c3CCC(C)Cc3c2c1
X2C,Clc1ccc(cc1)Cn1c2ccc(OC)cc2c2CC(C)CCc12
X2D,Fc1ccc(cc1)Cn1c2ccc(OC)cc2c2CC(C)CCc12
X2E,O=N(=O)c1ccc(cc1)Cn1c2ccc(OC)cc2c2CC(C)CCc12
X3A,COc1cc2c(cc1)n(Cc1ccccc1)c1CCC(Cc12)C(C)(C)C
X3B,COc1cc2c(cc1)n(Cc1ccc(C)cc1)c1CCC(Cc12)C(C)(C)C
X3C,COc1cc2c(cc1)n(Cc1ccc(Cl)cc1)c1CCC(Cc12)C(C)(C)C
X3D,COc1cc2c(cc1)n(Cc1ccc(F)cc1)c1CCC(Cc12)C(C)(C)C
X3E,COc1cc2c(cc1)n(Cc1ccc(cc1)N(=O)=O)c1CCC(Cc12)C(C)(C)C
